position.lat,position.lng,Restaurants,Department Stores,Gyms,Cluster
17.38722,78.4639,20,7,4,2
17.39213,78.46052,20,15,4,0
17.39231,78.46055,20,15,4,0
17.39231,78.46036,20,15,4,0
17.39249,78.4607,20,15,4,0
17.38576,78.46385,20,5,5,2
17.39283,78.46073,20,15,4,0
17.39282,78.45996,20,15,4,0
17.39279,78.45945,20,15,4,0
17.38522,78.4639,20,5,4,2
17.38785,78.45634,20,8,2,2
17.38501,78.46435,20,5,5,2
17.39193,78.45698,20,16,4,0
17.3929,78.4572,20,16,5,0
17.39385,78.46441,20,19,5,1
17.39448,78.46301,20,20,3,1
17.38697,78.46709,20,13,6,0
17.38331,78.46394,20,6,2,2
17.39253,78.45593,20,15,5,0
17.39271,78.45602,20,15,5,0
17.39533,78.46228,20,20,3,1
17.38899,78.454,20,13,2,0
17.39139,78.45424,20,17,3,0
17.39583,78.45996,20,19,5,1
17.3869,78.4684,20,17,8,0
17.39235,78.45366,20,18,4,1
17.39237,78.4528,20,20,4,1
17.39747,78.4612,20,19,4,1
17.39197,78.45235,20,20,4,1
17.39778,78.46018,20,19,4,1
17.39259,78.45207,20,20,4,1
17.38227,78.46841,20,10,5,2
17.39272,78.45156,20,20,3,1
17.39211,78.47119,20,20,7,0
17.38509,78.45105,20,5,1,2
17.39344,78.4709,20,19,7,1
17.38469,78.45073,20,5,1,2
17.393,78.47139,20,19,7,1
17.39927,78.45853,20,20,5,1
17.39213,78.47208,20,20,7,1
17.37723,78.46423,20,8,5,2
17.40069,78.45624,20,20,4,1
17.38964,78.47442,20,20,6,1
17.38945,78.44763,20,19,1,1
17.39926,78.45278,20,20,5,1
17.37579,78.46309,20,9,5,2
17.39798,78.45057,20,20,5,1
17.39664,78.47274,20,20,7,1
17.3837,78.47466,20,20,6,1
17.37744,78.46968,20,20,8,1
17.37489,78.46299,20,9,5,2
17.37459,78.4603,20,5,5,0
17.37458,78.46265,20,8,5,2
17.37445,78.46278,20,8,5,2
17.39313,78.44634,20,20,2,1
17.37407,78.46266,20,10,5,2
17.39352,78.44636,20,20,2,1
17.39304,78.44605,20,20,2,1
17.37604,78.47071,20,20,8,1
17.38968,78.44432,20,20,1,1
17.39071,78.44404,20,20,1,1
17.40058,78.44889,20,20,5,1
17.38912,78.44348,20,20,1,1
17.3931,78.444,20,20,1,0
17.39798,78.44594,20,20,3,1
17.39934,78.44657,20,20,4,1
17.39923,78.44643,20,20,4,1
17.39976,78.44669,20,20,4,1
17.39965,78.44628,20,20,4,1
17.4002,78.44672,20,20,4,1
