,title,id,language,ontologyId,resultType,access,distance,categories,references,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.street,address.postalCode,position.lat,position.lng,contacts,chains,address.houseNumber,address.building
56,K. N. R Samyuktha's Enclave,here:pds:place:356jx7ps-87ea26b9f5470f043ecabe1538b90bda,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38881, 'lng': 78.49015}]",3579,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1110412086'}]","K. N. R Samyuktha's Enclave, Reliance Digitals Lane, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,Reliance Digitals Lane,500027,17.3888,78.4903,,,,
57,Shri Somnath Kalyani,here:pds:place:356jx7ps-3208e05e4f0300176df54190ce36256d,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38854, 'lng': 78.49079}]",3593,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1138798460'}]","Shri Somnath Kalyani, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,,500027,17.38867,78.49082,,,,
58,Vansh Towers,here:pds:place:356jx7ps-b6d9632bd38a021fd4988084455222fb,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.3929, 'lng': 78.47138}]",3615,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'supplier': {'id': 'core'}, 'id': '1137585323'}]","Vansh Towers, Mahesh Nagar, Abids, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Abids,Mahesh Nagar,,500001,17.393,78.47139,,,,
59,Hari Nilayam,here:pds:place:356jx7ps-0262c3362768078a6acdbd0ff81a515d,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.3869, 'lng': 78.4942}]",3619,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1146234124'}]","Hari Nilayam, Mahalaxmi Nilayam-Chappal Bazar, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Mahalaxmi Nilayam-Chappal Bazar,,500027,17.38685,78.4942,,,,
60,S G Complex,here:pds:place:356jx7ps-2805dbf0d3f907227e85a9e89003bde7,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38975, 'lng': 78.48941}]",3625,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}, {'id': '700-7250-0136', 'name': 'Business Facility'}]","[{'supplier': {'id': 'core'}, 'id': '1110411700'}]","S G Complex, Badi Chowdi, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Badi Chowdi,,500027,17.38972,78.48939,,,,
61,Sree Sai Datta Nivas,here:pds:place:356jx7ps-dde5c9234a690982cedf228df4a05a9a,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38456, 'lng': 78.45074}]",3648,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1135253911'}]","Sree Sai Datta Nivas, Natraj Nagar-Dattatreya Colony, Asif Nagar, Hyderabad 500028, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Asif Nagar,Natraj Nagar-Dattatreya Colony,,500028,17.38469,78.45073,,,,
62,DR. Narayana Rao Nandapurkar Residency,here:pds:place:356jx7ps-f670c20298900610d4abf58850250907,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38967, 'lng': 78.49024}]",3658,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1110412274'}]","DR. Narayana Rao Nandapurkar Residency, Reliance Digitals Lane, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,Reliance Digitals Lane,500027,17.38963,78.49026,,,,
63,Manju Diamond Apartment,here:pds:place:356jx7ps-d07fb1dd802b0a1def93884a8c62533a,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38507, 'lng': 78.45119}]",3658,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1135253857'}]","Manju Diamond Apartment, Natraj Nagar-Dattatreya Colony, Asif Nagar, Hyderabad 500028, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Asif Nagar,Natraj Nagar-Dattatreya Colony,,500028,17.38509,78.45105,,,,
64,Osman Plaza,here:pds:place:356jx7ps-74074976aafd09506fee8a3fd02a099f,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.39346, 'lng': 78.47092}]",3668,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1100404459'}]","Osman Plaza, Mahesh Nagar, Abids, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Abids,Mahesh Nagar,,500001,17.39344,78.4709,,,,
65,Akbar Manjil,here:pds:place:356tepfc-9d7c4627d2834de4a7b7fcaea2cfe5de,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.39155, 'lng': 78.46189}]",3675,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1069895955'}]","Akbar Manjil, Nampally Market Road, Aghapura-Habeeb Nagar, Nampally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Nampally,Aghapura-Habeeb Nagar,Nampally Market Road,500001,17.39153,78.46189,,,,
66,Gulab Cyber Avenue,here:pds:place:356tepff-2bdbcd0fddc74f19aada6772d1a90e04,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.3909, 'lng': 78.48782}]",3678,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '600-6900-0000', 'name': 'Consumer Goods'}, {'id': '700-7250-0136', 'name': 'Business Facility'}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'core'}, 'id': '1024039264'}]","Gulab Cyber Avenue, Kachiguda Road, Hyderguda-Rajmohalla, King Koti, Hyderabad 500095, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,King Koti,Hyderguda-Rajmohalla,Kachiguda Road,500095,17.39095,78.48782,,,,
67,Bhagwati,here:pds:place:356jx7ps-b2177e5670610799fdf5d715197c0130,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38883, 'lng': 78.49228}]",3683,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1138798565'}]","Bhagwati, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,,500027,17.38886,78.49214,,,,
68,Pulla Reddy,here:pds:place:356tepff-13bae7cadea2de7fd9dd318ea1f31180,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.3897, 'lng': 78.49091}]",3686,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,"Pulla Reddy, Kuthabiguda 2nd Street, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,Kuthabiguda 2nd Street,500027,17.38958,78.49091,,,,
69,Pulla Reddy Royal Apartments,here:pds:place:356jx7ps-f903d980b2cc0361836501cde652677a,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38972, 'lng': 78.49087}]",3687,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'supplier': {'id': 'core'}, 'id': '1110488054'}]","Pulla Reddy Royal Apartments, Kuthabiguda 2nd Street, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,Kuthabiguda 2nd Street,500027,17.38962,78.49084,,,,
70,Kisna Grandeur,here:pds:place:356tepff-3cc475d320a94cf7a9a035c90c821cc1,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38945, 'lng': 78.49109}]",3687,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,"Kisna Grandeur, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,,500027,17.38944,78.49118,,,,
71,Laxmi Nivas,here:pds:place:356jx7ps-933dfcca864c0a13ed694fdf49c8f446,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38773, 'lng': 78.49424}]",3687,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1100438031'}, {'supplier': {'id': 'core'}, 'id': '1146234139'}]","Laxmi Nivas, Mahalaxmi Nilayam-Chappal Bazar, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Mahalaxmi Nilayam-Chappal Bazar,,500027,17.3876,78.49422,,,,
72,Sarojini Apartments,here:pds:place:356jx7ps-e05984fbfabd0ade81e77bc00befcd4d,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.39117, 'lng': 78.48765}]",3690,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1110412078'}]","Sarojini Apartments, Hyderguda-Rajmohalla, King Koti, Hyderabad 500095, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,King Koti,Hyderguda-Rajmohalla,,500095,17.39115,78.48762,,,,
73,Ratan Sagar Commercial Complex,here:pds:place:356jx7ps-bb3608cba3c009ab7181bb01f6d39ffc,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38989, 'lng': 78.49043}]",3691,"[{'id': '700-7250-0136', 'name': 'Business Facility', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'core'}, 'id': '1110488052'}]","Ratan Sagar Commercial Complex, Kuthabiguda 2nd Street, Kutbi Guda-Sai Nanditha Enclave, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Kutbi Guda-Sai Nanditha Enclave,Kuthabiguda 2nd Street,500027,17.38988,78.49043,,,,
74,Om Sai Residency,here:pds:place:356jx7ps-f89a2c8f4186069362b605c5b575220c,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.38812, 'lng': 78.49461}]",3763,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1097243273'}]","Om Sai Residency, Mahalaxmi Nilayam-Chappal Bazar, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Mahalaxmi Nilayam-Chappal Bazar,,500027,17.38811,78.49469,,,,
75,Chamkur Villa,here:pds:place:356jx7ps-630042debf7f07a39c4d7d8ed28a409b,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.3881, 'lng': 78.49489}]",3771,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1097243297'}]","Chamkur Villa, Mahalaxmi Nilayam-Chappal Bazar, Kachiguda, Hyderabad 500027, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Kachiguda,Mahalaxmi Nilayam-Chappal Bazar,,500027,17.38807,78.49488,,,,
